
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,95,bom,35.0,bom,0,151,baixo,32.16467,22.0,2026-05-16 12:31:12,0,
bom,138,bom,35.0,bom,0,136,baixo,32.31509,22.0,2026-05-16 12:31:42,0,
bom,118,bom,35.0,bom,0,122,baixo,32.48896,22.0,2026-05-16 12:32:12,0,
bom,103,bom,35.0,bom,0,141,baixo,33.06364,22.0,2026-05-16 12:32:42,0,
bom,123,bom,35.0,bom,0,147,baixo,33.35436,22.0,2026-05-16 12:33:12,0,
bom,123,bom,35.0,bom,0,146,baixo,32.54347,22.0,2026-05-16 12:33:42,0,
bom,119,bom,35.0,bom,0,175,baixo,30.15425,22.0,2026-05-16 12:34:12,0,
bom,135,bom,35.0,bom,0,143,baixo,30.94246,22.0,2026-05-16 12:34:42,0,
bom,69,bom,35.0,bom,0,151,baixo,31.75549,22.0,2026-05-16 12:35:12,0,
bom,149,bom,35.0,bom,0,153,baixo,32.09261,22.1,2026-05-16 12:35:42,0,
bom,107,bom,35.0,bom,0,146,baixo,31.4531,22.1,2026-05-16 12:36:12,0,
bom,107,bom,35.0,bom,0,139,baixo,32.90728,22.1,2026-05-16 12:36:42,0,
bom,127,bom,35.0,bom,0,381,baixo,32.68656,22.1,2026-05-16 12:37:12,0,
bom,141,bom,35.0,bom,0,152,moderado,37.77557,22.1,2026-05-16 12:37:43,0,
bom,137,bom,35.0,bom,0,142,baixo,31.07197,22.1,2026-05-16 12:38:13,0,
bom,148,bom,35.0,bom,0,147,baixo,33.52703,22.1,2026-05-16 12:38:43,0,
bom,133,bom,35.0,bom,0,141,baixo,30.27834,22.1,2026-05-16 12:39:13,0,
bom,109,bom,35.0,bom,0,137,baixo,32.56584,22.1,2026-05-16 12:39:43,0,
bom,102,bom,35.0,bom,0,135,baixo,33.22283,22.1,2026-05-16 12:40:13,0,
bom,127,bom,35.0,bom,0,152,baixo,33.70377,22.0,2026-05-16 12:40:43,0,
bom,121,bom,35.0,bom,0,135,moderado,35.15527,22.0,2026-05-16 12:41:13,0,
bom,119,bom,35.0,bom,0,149,baixo,32.255,22.0,2026-05-16 12:41:43,0,
bom,107,bom,35.0,bom,0,133,moderado,35.16136,22.0,2026-05-16 12:42:14,0,
bom,101,bom,35.0,bom,0,131,baixo,33.69568,22.0,2026-05-16 12:42:44,0,
bom,111,bom,35.0,bom,0,0,moderado,52.09287,22.0,2026-05-16 12:43:14,0,
bom,133,bom,35.0,bom,0,151,baixo,31.31017,22.0,2026-05-16 12:43:44,0,
bom,137,bom,35.0,bom,0,163,baixo,33.89097,22.0,2026-05-16 12:44:14,0,
bom,97,bom,35.0,bom,0,143,baixo,33.08484,22.0,2026-05-16 12:44:44,0,
bom,93,bom,35.0,bom,0,31,baixo,28.66938,22.0,2026-05-16 12:45:14,0,
bom,111,bom,35.0,bom,0,141,baixo,33.31431,22.0,2026-05-16 12:45:44,0,
bom,110,bom,35.0,bom,0,137,baixo,30.65947,22.0,2026-05-16 12:46:14,0,
bom,137,bom,35.0,bom,0,143,baixo,33.4551,21.9,2026-05-16 12:46:44,0,
